"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"UI displays rate limit warning when API returns 429 Too Many Requests.","2974","TC-LOGIN-008: Mocked 429 Rate Limiting warning [CHROMIUM]","tests.tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"Valid email + password -> redirects to home page.","4126","TC-LOGIN-001: Successful login with valid credentials [CHROMIUM]","tests.tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"UI prevents double submission and handles high latency gracefully.","3308","TC-LOGIN-009: Mocked Delayed Response (Network latency) [CHROMIUM]","tests.tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"Điền thông tin thẻ -> Submit -> Kiểm tra nút Processing.","4612","TC-BILLING-001: Thêm thẻ thanh toán thành công và xác thực 3DS (Happy Path) [CHROMIUM]","tests.tests","2026-09-21","passed","2026-09-21","TestBillingMethod","BILLING_UI_SUITE","",""
"Submit empty form -> both inline error messages are displayed.","3085","TC-LOGIN-003: Both fields empty -> displays both errors [CHROMIUM]","tests.tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"Invalid email/password -> server error notification toast appears.","2520","TC-LOGIN-004: Invalid credentials -> 'account does not exist' notification [CHROMIUM]","tests.tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"UI handles locked account scenario properly.","2256","TC-LOGIN-010: Mocked 403 Forbidden (Locked Account) [CHROMIUM]","tests.tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"UI displays graceful error message when API returns 500 Internal Server Error.","3206","TC-LOGIN-007: Mocked 500 Server Error handles gracefully [CHROMIUM]","tests.tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"Forgot Password? link navigates to the correct page.","2101","TC-LOGIN-005: Click 'Forgot Password?' -> navigates to forgot-password page [CHROMIUM]","tests.tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"Submit form with valid email and empty password -> password error displayed.","2434","TC-LOGIN-002: Empty password -> displays 'Password is required.' error [CHROMIUM]","tests.tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"Xóa sạch Email, Card Info, Address và bấm Save -> Nút Save không gửi API, hiển thị báo lỗi bắt buộc cho Email.","3204","TC-BILLING-002: Bỏ trống các trường bắt buộc [CHROMIUM]","tests.tests","2026-09-21","passed","2026-09-21","TestBillingMethod","BILLING_UI_SUITE","",""
"Nhập số thẻ sai độ dài hoặc không thỏa mãn công thức Luhn -> Báo lỗi 'Your card number is invalid.'","2089","TC-BILLING-003: Validate thuật toán Luhn (Số thẻ invalid) [CHROMIUM]","tests.tests","2026-09-21","passed","2026-09-21","TestBillingMethod","BILLING_UI_SUITE","",""
"Sign Up link navigates to the correct page.","2398","TC-LOGIN-006: Click 'Sign Up' -> navigates to sign-up page [CHROMIUM]","tests.tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
"UI handles unexpected JSON schema gracefully (Defensive Programming).","2186","TC-LOGIN-011: Mocked Contract Change (Missing Token in 200 OK) [CHROMIUM]","tests.tests","2026-09-21","passed","2026-09-21","TestLogin","test_login","",""
